ID;petName;bornDatePet;petGender;typePet
103;Penelope;3/1/2004;Female;Indian star tortoise
104;Elise;10/16/2006;Female;Feral rock pigeon
105;Clint;12/19/2012;Male;Goliath heron
106;Keira;9/9/2010;Female;Indian star tortoise
107;Elena;10/1/2011;Female;Black-tailed deer
108;Julian;3/19/2008;Male;Chipmunk
109;Wade;1/1/2018;Male;Galapagos mockingbird
110;Valentina;6/22/2016;Female;Golden eagle
111;Carmella;12/24/2013;Female;Fossa
112;Anais;3/6/2017;Female;Honey badger
113;Beatrice;3/21/2014;Female;Arctic fox
114;Tom;8/16/2009;Male;Herring gull
115;David;5/20/2016;Male;Cape wild cat
116;Morgan;9/4/2006;Female;Koala
117;Winnie;8/16/2013;Female;Armadillo
118;Adela;7/30/2009;Female;Komodo Dragon
119;Michael;8/14/2013;Male;Glossy ibis
120;Violet;7/22/2014;Female;Blue wildebeest
121;Chuck;8/15/2006;Male;Bushpig
122;Johnathan;8/12/2017;Male;Groundhog
123;Daniel;11/19/2013;Male;Zebu
124;Sarah;6/2/2011;Female;Kongoni
125;David;1/3/2016;Male;Common shelduck
126;Kieth;10/28/2008;Male;Crab
127;Enoch;5/2/2012;Male;Bat
128;Bernadette;9/19/2010;Female;King vulture
129;Tyler;2/19/2004;Male;European beaver
130;Gwenyth;12/25/2008;Female;Cape fox
131;Logan;7/12/2004;Male;Turkey
132;Carolyn;2/14/2011;Female;European shelduck
133;Callie;12/1/2005;Female;Frilled lizard
134;Abdul;1/15/2015;Male;Common zebra
135;Martin;7/21/2007;Male;Gambels quail
136;Sofie;4/10/2006;Female;Raccoon
137;Boris;9/24/2004;Male;Cereopsis goose
138;Chester;10/16/2007;Male;Indian giant squirrel
139;Jack;9/10/2008;Male;Sloth
140;Quinn;6/26/2017;Female;Fat-tailed dunnart
141;Elijah;7/22/2015;Male;King vulture
142;William;12/30/2015;Male;Crab
143;Chadwick;9/1/2006;Male;Indian jackal
144;Bridget;4/25/2011;Female;Buttermilk snake
145;David;2/3/2007;Male;JellyFish
146;Bryon;8/22/2019;Male;Horned rattlesnake
147;Stella;4/17/2018;Female;Dusky rattlesnake
148;Leroy;6/12/2009;Male;Donkey
149;Elijah;9/20/2010;Male;Downy woodpecker
150;Rosemary;1/7/2011;Female;Cape fox
151;Ruby;1/10/2006;Female;Snake
152;Javier;8/3/2011;Male;Comb duck
153;Henry;2/16/2019;Male;Snake
154;Gwen;11/16/2017;Female;Eastern fox squirrel
155;Jazmin;11/13/2016;Female;Calf
156;Mason;11/6/2013;Male;Crab
157;Leanne;7/3/2018;Female;Fox
158;Chadwick;10/7/2014;Male;Helmeted guinea fowl
159;Roger;2/27/2015;Male;Common genet
160;Doug;11/29/2014;Male;Koala
161;Wendy;12/8/2016;Female;Sea Lion
162;Anthony;6/2/2016;Male;Common wombat
163;Naomi;10/9/2017;Female;Feathertail glider
164;Alexander;6/1/2007;Male;Giant girdled lizard
165;Adalind;3/30/2012;Female;Chacma baboon
166;Lorraine;10/30/2006;Female;Common genet
167;Darlene;5/13/2006;Female;Field flicker
168;Rick;3/12/2007;Male;Deer
169;Clint;3/28/2019;Male;Golden jackal
170;Peter;1/31/2011;Male;Kongoni
171;Rachael;10/12/2008;Female;Harrie
172;Sydney;12/10/2016;Female;Hanuman langur
173;Julian;1/17/2008;Male;Deer
174;Victoria;7/19/2008;Female;Zebu
175;Tania;1/31/2011;Female;Hoary marmot
176;Darlene;2/6/2006;Female;Black-tailed deer
177;Liam;1/23/2011;Male;Griffon vulture
178;Abdul;4/2/2015;Male;Blue peacock
179;Dakota;10/2/2011;Female;Ibex
180;Mya;5/12/2004;Female;Cormorant
181;Bart;6/2/2011;Male;Weasel
182;Catherine;11/26/2007;Female;Fisher
183;Rick;2/1/2011;Male;Deer
184;Luke;1/5/2017;Male;Bush dog
185;Liv;7/27/2014;Female;Catfish
186;Clint;4/8/2011;Male;Brown hyena
187;Benny;3/26/2007;Male;Rat
188;Matt;4/26/2015;Male;Gray langur
189;Molly;2/9/2011;Female;Sheep
190;Hannah;5/21/2009;Female;Brown lemur
191;Marigold;10/2/2017;Female;Dabchick
192;Matt;4/17/2004;Male;King vulture
193;Jayden;7/11/2013;Male;Grizzly bear
194;Hayden;1/5/2012;Female;Desert spiny lizard
195;Barney;2/22/2016;Male;Wombat
196;Daphne;1/18/2008;Female;Shirmp
197;Jacob;11/19/2015;Male;Cheetah
198;Bob;1/18/2007;Male;King vulture
199;Chuck;1/13/2010;Male;Seal
200;Nicholas;10/30/2005;Male;Hoary marmot
201;Britney;4/3/2006;Female;Desert tortoise
202;Josh;10/15/2004;Male;Javanese cormorant
203;Darlene;7/1/2011;Female;Emu
204;Katelyn;6/4/2011;Female;Galapagos sea lion
205;Marla;7/27/2014;Female;Penguin
206;Carla;3/20/2013;Female;Eurasian hoopoe
207;Victoria;7/18/2004;Female;Burrowing owl
208;Luke;5/2/2015;Male;Collared lemming
209;Julius;9/28/2004;Male;Fringe-eared oryx
210;Daphne;5/6/2014;Female;Swan
211;Bart;5/26/2017;Male;Great kiskadee
212;Ember;4/5/2011;Female;Red Panda
213;Ryan;12/31/2009;Male;Butterfly
214;Fred;3/8/2013;Male;Swan
215;Alan;12/5/2010;Male;Bald Eagle
216;Eduardo;6/23/2015;Male;Common duiker
217;Maya;2/6/2017;Female;Capybara
218;Jessica;8/23/2016;Female;Sheep
219;Elle;12/3/2010;Female;Bobcat
220;Bryon;4/21/2008;Male;Eagle owl
221;Josh;11/9/2008;Male;Jungle kangaroo
222;Mya;5/3/2016;Female;Shirmp
223;Nicholas;8/18/2008;Male;Galapagos albatross
224;Emmanuelle;4/27/2015;Female;Deer
225;Bart;10/6/2012;Male;Dodo
226;Boris;6/6/2011;Male;Galah
227;Josh;9/3/2011;Male;Eastern grey kangaroo
228;Maxwell;7/27/2005;Male;Fly
229;Bryon;10/18/2007;Male;Chipmunk
230;Nicole;10/10/2018;Female;Collared lizard
231;Monica;3/14/2006;Female;Weasel
232;Percy;10/12/2008;Male;Chestnut weaver
233;Candice;10/1/2013;Female;Greater flamingo
234;Harvey;5/8/2016;Male;European spoonbill
235;Johnathan;2/14/2008;Male;Fossa
236;Jessica;11/4/2008;Female;Golden jackal
237;Adina;5/28/2014;Female;Emu
238;Russel;4/24/2019;Male;Hawk-headed parrot
239;Denny;7/9/2015;Male;Baboon
240;Bob;1/22/2009;Male;Horse
241;Roger;6/12/2015;Male;Fossa
242;Bob;11/29/2011;Male;Kelp gull
243;Johnathan;1/7/2019;Male;Eurasian red squirrel
244;Isla;9/30/2018;Female;Vulture
245;Harry;9/5/2018;Male;Dodo
246;Owen;8/5/2009;Male;Arctic fox
247;Doug;12/30/2013;Male;Eurasian hoopoe
248;Evelynn;7/7/2006;Female;Glossy ibis
249;Louise;6/28/2008;Female;Cape wild cat
250;Cameron;8/3/2008;Female;Huron
251;Naomi;10/8/2017;Female;King vulture
252;Emely;5/24/2015;Female;Weasel
253;Barney;8/22/2016;Male;Eastern cottontail rabbit
254;Manuel;1/25/2016;Male;Eurasian red squirrel
255;Rocco;2/25/2019;Male;Gila monster
256;Johnny;12/8/2007;Male;Burrowing owl
257;Janice;3/17/2012;Female;Carpet python
258;David;3/13/2017;Male;Egyptian goose
259;Esmeralda;3/19/2016;Female;Cheetah
260;Candice;1/14/2019;Female;Jaguarundi
261;Carl;1/20/2017;Male;Egyptian viper
262;Alison;11/28/2014;Female;Seal
263;Sadie;8/31/2004;Female;Black-capped chickadee
264;Ruth;2/25/2010;Female;European red squirrel
265;Lynn;10/26/2008;Female;Ferret
266;Tyler;8/1/2010;Male;Lion
267;Ruby;4/11/2004;Female;Eastern indigo snake
268;Jennifer;1/7/2010;Female;Antelope
269;Carina;1/18/2004;Female;Turkey
270;Cristal;2/19/2010;Female;European spoonbill
271;Leslie;7/3/2012;Female;Komodo Dragon
272;Jules;11/22/2013;Female;Dassie
273;Johnathan;5/20/2005;Male;Baboon
274;Cherish;1/25/2013;Female;Desert spiny lizard
275;Lana;3/29/2014;Female;Wolf
276;Matthew;8/7/2018;Male;Giant otter
277;Denny;7/11/2015;Male;Kinkajou
278;Eden;3/4/2014;Female;Dama wallaby
279;Christy;3/1/2012;Female;Common zebra
280;Cedrick;3/5/2019;Male;Crested porcupine
281;Chuck;3/19/2007;Male;Dusky rattlesnake
282;Brad;10/7/2010;Male;Wolf
283;Nate;3/14/2008;Male;Eastern diamondback rattlesnake
284;Julian;7/13/2010;Male;Baboon
285;Eileen;5/11/2018;Female;Killer whale
286;Shannon;11/25/2016;Female;Eastern white pelican
287;Courtney;5/29/2018;Female;Honey badger
288;Chuck;3/23/2014;Male;Rat
289;Russel;7/23/2018;Male;Ferret
290;Ember;1/9/2007;Female;Barking gecko
291;Maxwell;2/5/2014;Male;Blue wildebeest
292;Susan;11/8/2008;Female;Kaffir cat
293;Abbey;1/21/2017;Female;Zebu
294;Adina;8/7/2011;Female;Great white pelican
295;Ruby;3/28/2018;Female;Egyptian goose
296;Carol;7/22/2015;Female;Dodo
297;Nicholas;10/25/2014;Male;Galapagos penguin
298;Benny;9/20/2012;Male;Indian tree pie
299;Elisabeth;4/22/2007;Female;Brown capuchin
300;Bart;11/24/2010;Male;Cobra
301;Lucy;7/4/2019;Female;Hippopotamus
302;Jayden;2/3/2013;Male;Egyptian viper
303;Winnie;3/3/2007;Female;wasp
304;Aurelia;4/6/2012;Female;Hoary marmot
305;Anthony;7/13/2012;Male;American buffalo
306;Enoch;7/9/2017;Male;Crested barbet
307;Fred;11/3/2004;Male;Scorpion
308;Mike;1/11/2015;Male;Avocet
309;Bart;3/19/2018;Male;Canada goose
310;Alice;1/30/2005;Female;Chestnut weaver
311;Julius;9/16/2012;Male;Caracal
312;Daniel;3/11/2016;Male;Cape cobra
313;Mark;6/6/2012;Male;Galapagos dove
314;Adeline;8/11/2009;Female;Hoary marmot
315;Domenic;11/3/2009;Male;African elephant
316;Rosemary;2/13/2006;Female;Elephant
317;Rosalee;4/1/2015;Female;Field flicker
318;Enoch;1/30/2016;Male;Cape Barren goose
319;Sebastian;12/23/2006;Male;Wolf
320;John;10/2/2018;Male;Dassie
321;Kendra;1/6/2010;Female;Great horned owl
322;Oliver;6/20/2004;Male;Turkey
323;Owen;6/3/2013;Male;Jungle cat
324;Caleb;4/22/2016;Male;Armadillo
325;Jules;10/21/2004;Female;Jungle cat
326;Aileen;2/6/2019;Female;Cape fox
327;Henry;9/26/2011;Male;Wolverine
328;Luke;6/13/2016;Male;Panda
329;Iris;7/12/2018;Female;Badger
330;Goldie;2/2/2015;Female;Emu
331;Ramon;10/26/2017;Male;Blue peacock
332;Martin;3/17/2015;Male;Eastern grey kangaroo
333;Aiden;3/23/2004;Male;Emerald green tree boa
334;Johnathan;4/4/2005;Male;European spoonbill
335;Moira;8/16/2015;Female;Weasel
336;Taylor;6/15/2014;Female;Zebu
337;Brad;7/16/2005;Male;Galapagos tortoise
338;Dorothy;7/20/2010;Female;Sparrow
339;Abdul;8/12/2007;Male;Emu
340;William;6/6/2009;Male;Black rhinoceros
341;Kieth;10/31/2005;Male;Koala
342;Natalie;4/25/2008;Female;Eastern indigo snake
343;Elena;8/8/2019;Female;Indian mynah
344;Chadwick;4/26/2011;Male;Great egret
345;Chadwick;6/28/2017;Male;Komodo dragon
346;Paula;8/15/2005;Female;Barking gecko
347;Enoch;3/7/2018;Male;Baboon
348;Elijah;1/29/2019;Male;Great cormorant
349;Julius;12/11/2006;Male;Vampire Bat
350;Makena;11/9/2016;Female;Cheetah
351;Mark;2/12/2012;Male;Collared lemming
352;Kirsten;5/10/2010;Female;Blue peacock
353;Nick;3/21/2004;Male;Goliath heron
354;Eduardo;12/24/2009;Male;Eastern indigo snake
355;Alba;11/1/2008;Female;Eastern fox squirrel
356;Natalie;6/18/2015;Female;Cape fox
357;Adalind;7/9/2019;Female;Crested porcupine
358;Ryan;4/18/2015;Male;African lion
359;Alexander;8/6/2013;Male;Sea Lion
360;Rick;8/5/2012;Male;Japanese macaque
361;Rae;7/16/2004;Female;Penguin
362;Benjamin;11/24/2015;Male;Horned puffin
363;Luke;3/29/2017;Male;Snake
364;Julius;12/20/2007;Male;Arctic fox
365;Jacob;11/10/2005;Male;Zebra
366;Sloane;1/30/2004;Female;Ibex
367;Gladys;9/29/2013;Female;Javanese cormorant
368;John;12/14/2007;Male;Cape cobra
369;Lucas;6/14/2011;Male;JellyFish
370;Ramon;7/4/2013;Male;Desert tortoise
371;Barry;5/8/2011;Male;Indian peacock
372;Alice;5/20/2005;Female;Jungle cat
373;Jolene;4/12/2004;Female;Common langur
374;Fred;1/1/2006;Male;Brown hyena
375;Caleb;11/6/2016;Male;Harrie
376;Adina;8/18/2011;Female;Lemur
377;Martin;12/28/2013;Male;Blue catfish
378;Fiona;11/30/2012;Female;Dusky gull
379;Livia;12/9/2011;Female;European beaver
380;Penny;7/6/2005;Female;Burrowing owl
381;Rita;7/9/2014;Female;Zebu
382;Harvey;5/14/2008;Male;Egyptian goose
383;Russel;3/3/2006;Male;Eastern quoll
384;Isabella;5/4/2008;Female;Gray heron
385;Emma;6/5/2018;Female;European badger
386;Havana;11/21/2010;Female;Cape Barren goose
387;Daron;6/16/2014;Male;Bushbuck
388;Candace;10/9/2015;Female;Common langur
389;Rocco;6/18/2019;Male;Fork-tailed drongo
390;Mara;10/3/2008;Female;Ferruginous hawk
391;Remy;11/18/2007;Female;Japanese macaque
392;Russel;1/3/2009;Male;Common turkey
393;Elijah;6/12/2013;Male;Red Panda
394;Belinda;6/11/2012;Female;European spoonbill
395;Candice;12/11/2013;Female;Black-footed ferret
396;Anabelle;5/7/2019;Female;Brazilian tapir
397;Nick;7/21/2005;Male;Ferret
398;Percy;3/31/2011;Male;Mouse
399;Jacob;3/7/2010;Male;Greater flamingo
400;Brad;6/22/2018;Male;Desert tortoise
401;Mark;4/16/2011;Male;Chestnut weaver
402;Erin;11/23/2007;Female;Galapagos albatross
403;Chad;7/12/2012;Male;Dama wallaby
404;Luke;2/22/2013;Male;Armadillo
405;Mandy;5/2/2019;Female;Galapagos albatross
406;Aurelia;12/30/2009;Female;Somali
407;Erick;5/5/2016;Male;Arctic fox
408;Isabella;11/11/2015;Female;Vulture
409;Rylee;6/18/2019;Female;Killer whale
410;Tyson;2/22/2010;Male;Zebra
411;Daphne;1/10/2014;Female;Shirmp
412;Miriam;3/3/2011;Female;Leopard
413;Rocco;5/15/2018;Male;Alpaca
414;Michael;5/31/2004;Male;Crested barbet
415;Jackeline;8/14/2006;Female;Emu
416;Harry;3/8/2009;Male;Eastern white pelican
417;Manuel;9/12/2004;Male;Scorpion
418;Maya;7/18/2014;Female;Puma
419;Rick;10/19/2007;Male;Dusky gull
420;Macy;9/9/2005;Female;Hanuman langur
421;Harriet;8/11/2013;Female;Feathertail glider
422;Bob;11/11/2012;Male;Killer whale
423;Deborah;5/30/2007;Female;Jabiru stork
424;Kate;8/16/2016;Female;European spoonbill
425;Barney;3/7/2009;Male;Harbor seal
426;Sabrina;3/7/2011;Female;King cormorant
427;Hayden;7/31/2017;Male;European badger
428;Emma;5/15/2019;Female;Fairy penguin
429;Chloe;1/11/2016;Female;Black-capped chickadee
430;Alan;9/19/2011;Male;Blue-tongued lizard
431;Victoria;10/15/2014;Female;Hawk-headed parrot
432;Rufus;2/4/2016;Male;Lemur
433;Freya;9/14/2013;Female;Eastern white pelican
434;Paige;4/27/2009;Female;Blue fox
435;Phillip;2/2/2012;Male;Zebra
436;Chester;9/22/2015;Male;Galapagos penguin
437;Elise;2/21/2011;Female;Blue shark
438;Nick;4/23/2013;Male;Chacma baboon
439;Carissa;6/3/2009;Female;Penguin
440;Joseph;2/4/2014;Male;Indian giant squirrel
441;Fred;8/20/2015;Male;Horned puffin
442;Ally;1/13/2008;Female;Horned lark
443;Penny;9/6/2012;Female;Flightless cormorant
444;Elena;3/5/2015;Female;Barking gecko
445;Harvey;8/24/2015;Male;Black-tailed prairie dog
446;Cameron;8/28/2014;Female;Canada goose
447;Bridget;8/25/2018;Female;Panda
448;Maribel;4/17/2007;Female;Giant otter
449;Bernadette;4/29/2007;Female;Blue-tongued lizard
450;Jennifer;5/6/2015;Female;Hippopotamus
451;Crystal;4/25/2004;Female;Cobra
452;John;9/5/2010;Male;European badger
453;Henry;9/13/2014;Male;Cape cobra
454;Teagan;6/16/2007;Female;Deer
455;Enoch;5/24/2005;Male;Cape wild cat
456;Rose;3/30/2014;Female;Fox
457;Cedrick;10/7/2014;Male;Comb duck
458;Tom;10/15/2012;Male;Common shelduck
459;Chuck;6/15/2016;Male;Black-footed ferret
460;Emmanuelle;4/26/2008;Female;Owl
461;Chadwick;1/7/2018;Male;Black rhinoceros
462;Aurelia;11/11/2006;Female;Eastern grey kangaroo
463;Hank;1/6/2007;Male;Four-horned antelope
464;Nate;9/14/2004;Male;Cat
465;Kamila;3/14/2012;Female;Cereopsis goose
466;Dakota;5/5/2007;Female;Eastern fox squirrel
467;Alexander;9/22/2006;Male;Eurasian red squirrel
468;Bristol;1/10/2014;Female;Bear
469;Amelia;1/22/2005;Female;European red squirrel
470;Angela;12/3/2006;Female;European wild cat
471;Catherine;12/19/2014;Female;Indian giant squirrel
472;Russel;1/31/2008;Male;Common genet
473;Zoe;3/17/2015;Female;European beaver
474;Hank;8/11/2017;Male;Harbor seal
475;Danny;2/2/2015;Male;Jabiru stork
476;Jayden;9/30/2016;Male;Kudu
477;Margot;2/3/2008;Female;Brazilian tapir
478;Iris;1/31/2013;Female;Seal
479;John;11/1/2018;Male;Harbor seal
480;Lynn;7/4/2005;Female;Indian star tortoise
481;Melinda;8/17/2015;Female;Dalmatian
482;Juliette;5/15/2015;Female;Caribou
483;Bryon;1/25/2006;Male;Gorilla
484;John;6/21/2011;Male;Sea Elephant
485;Valentina;7/13/2004;Female;Worm
486;Jackeline;1/13/2011;Female;Blue-tongued lizard
487;Oliver;4/16/2008;Male;Boar
488;Charlize;8/28/2015;Female;Chacma baboon
489;Meredith;9/14/2007;Female;Wombat
490;Nancy;6/4/2017;Female;Duck
491;Kenzie;6/22/2016;Female;Feathertail glider
492;Daniel;10/4/2004;Male;Duck
493;Bart;11/29/2004;Male;Blue peacock
494;Chuck;5/11/2004;Male;Chipmunk
495;Margaret;7/5/2005;Female;Badger
496;Gabriel;10/13/2009;Male;Bushpig
497;Sydney;1/29/2012;Female;Cape wild cat
498;Katelyn;10/14/2011;Female;Antelope
499;Eryn;9/20/2004;Female;Dusky rattlesnake
500;Brad;5/4/2008;Male;Four-horned antelope
501;Taylor;9/14/2010;Female;Blue shark
502;Nicholas;8/3/2013;Male;Polar Bear
503;Margaret;12/18/2012;Female;Leopard
504;Jamie;3/24/2016;Female;Groundhog
505;Sienna;5/2/2004;Female;Great kiskadee
506;Andrea;4/20/2011;Female;Kudu
507;Aiden;1/27/2005;Male;Giant anteater
508;Cedrick;5/24/2015;Male;Galapagos mockingbird
509;Fred;9/3/2015;Male;Blue wildebeest
510;Julianna;10/31/2018;Female;Giant girdled lizard
511;Lucas;8/14/2019;Male;Sparrow
512;Crystal;6/1/2008;Female;Grizzly bear
513;Daniel;11/24/2016;Male;Caracal
514;Logan;3/17/2008;Female;Cape fox
515;Russel;8/20/2008;Male;Albatross
516;Rebecca;5/9/2007;Female;wasp
517;Oliver;8/20/2012;Male;Collared lizard
518;Denny;7/28/2013;Male;Wolf
519;Claire;9/8/2010;Female;Emerald green tree boa
520;Abdul;6/4/2009;Male;Desert spiny lizard
521;Valentina;8/29/2018;Female;Fossa
522;Leslie;7/25/2014;Female;Common turkey
523;Gabriel;9/25/2018;Male;Blue catfish
524;Liam;12/23/2016;Male;Hamster
525;Eden;9/19/2013;Female;Indian mynah
526;Ada;1/22/2015;Female;Common dolphin
527;Clint;5/20/2007;Male;Field flicker
528;Eduardo;2/27/2005;Male;Butterfly
529;Sylvia;9/18/2011;Female;Common genet
530;Lynn;10/4/2014;Female;Komodo Dragon
531;Piper;6/11/2006;Female;Gorilla
532;Denis;6/26/2014;Male;Eastern indigo snake
533;Percy;1/26/2011;Male;Dromedary camel
534;Carl;8/12/2015;Male;Sparrow
535;Norah;4/29/2015;Female;Ant
536;Josh;9/28/2009;Male;Glossy ibis
537;Livia;8/15/2010;Female;Bald Eagle
538;Matt;9/5/2012;Male;Owl
539;Elena;9/30/2007;Female;Kudu
540;David;6/10/2012;Male;Somali
541;Peter;7/20/2012;Male;American buffalo
542;Ron;8/7/2004;Male;Baboon
543;Martha;12/6/2016;Female;Seal
544;Robyn;8/19/2010;Female;Brown lemur
545;Tony;7/3/2016;Male;Galapagos sea lion
546;Melinda;6/12/2013;Female;Kongoni
547;Renee;6/1/2011;Female;Komodo Dragon
548;Gina;5/30/2014;Female;Brown lemur
549;Luke;9/3/2016;Male;Bush dog
550;Nick;6/12/2017;Male;Ferret
551;Teagan;11/19/2010;Female;Fork-tailed drongo
552;Meredith;4/2/2011;Female;European stork
553;Chuck;7/21/2012;Male;Eurasian hoopoe
554;Rick;12/3/2017;Male;Chestnut weaver
555;Jacob;1/17/2007;Male;Buttermilk snake
556;Doug;12/1/2006;Male;Galapagos hawk
557;Nick;10/26/2007;Male;Fork-tailed drongo
558;Ronald;10/14/2018;Male;Hedgedog
559;Kenzie;8/17/2019;Female;Eastern indigo snake
560;Aleksandra;3/31/2016;Female;Kori bustard
561;Cristal;10/27/2010;Female;Burrowing owl
562;Florence;5/31/2004;Female;Collared peccary
563;Erick;11/20/2017;Male;Golden eagle
564;Ron;10/15/2009;Male;Sea Elephant
565;Clint;12/19/2018;Male;Yak
566;Nate;7/23/2006;Male;Greater flamingo
567;Gina;9/1/2017;Female;Hippopotamus
568;John;8/5/2011;Male;Blue peacock
569;Judith;12/17/2013;Female;Gorilla
570;Camden;7/14/2014;Female;Wolverine
571;Isla;9/16/2013;Female;Fossa
572;Felicity;3/3/2012;Female;Rat
573;Anabelle;1/15/2015;Female;Common seal
574;Brad;5/14/2009;Male;Panda
575;Henry;12/16/2012;Male;Seal
576;Michael;6/6/2012;Male;Killer whale
577;Payton;5/29/2013;Female;Fork-tailed drongo
578;Chris;6/1/2005;Male;Common duiker
579;Tyler;4/10/2009;Male;Wolverine
580;Wade;1/3/2006;Male;Puma
581;Margot;1/12/2012;Female;Frilled dragon
582;Jules;12/3/2011;Female;Bear
583;Felicity;6/24/2019;Female;Sheep
584;Alexia;3/24/2014;Female;Cereopsis goose
585;Sienna;1/2/2015;Female;California sea lion
586;Sadie;9/23/2008;Female;Monkey
587;Tom;9/3/2010;Male;Gila monster
588;Maddison;3/26/2012;Female;Lion
589;Ciara;8/26/2019;Female;Kaffir cat
590;Eileen;1/23/2013;Female;Bald Eagle
591;Caleb;9/14/2009;Male;Caribou
592;Skylar;2/12/2015;Female;Komodo dragon
593;Kurt;7/14/2013;Male;Fox
594;Adeline;5/18/2005;Female;Great egret
595;Chris;8/14/2008;Male;Eastern white pelican
596;Rufus;10/29/2013;Male;Ibex
597;Angela;8/6/2008;Female;Avocet
598;Rufus;11/30/2004;Male;Sloth
